BOR_105_019,West LA,BOR_105_001,Lawndale,BOR_105_002,Sherman Oaks,BOR_105_003,Union Station,BOR_105_004,Convention Center / Staples Center,BOR_105_005,Hawthorne,BOR_105_006,UCLA / Westwood,BOR_105_007,The Getty,BOR_105_008,Culver City,BOR_105_009,LA Stadium,BOR_105_010,South LA,BOR_105_011,Echo Park / Silver Lake,BOR_105_012,Carson,BOR_105_013,Dodger Station,BOR_105_014,Venice / Marina,BOR_105_015,Leimert Park,BOR_105_016,Santa Monica,BOR_105_017,Torrance,BOR_105_018,inglewood,BOR_105_020,South Bay,BOR_105_021,LAX,BOR_105_022,Long Beach Airport,BOR_105_023,USC / Coliseum,,,,,,,,,,,,
BOR_105_020,South Bay,BOR_105_001,Lawndale,BOR_105_002,Sherman Oaks,BOR_105_003,Union Station,BOR_105_004,Convention Center / Staples Center,BOR_105_005,Hawthorne,BOR_105_006,UCLA / Westwood,BOR_105_007,The Getty,BOR_105_008,Culver City,BOR_105_009,LA Stadium,BOR_105_010,South LA,BOR_105_011,Echo Park / Silver Lake,BOR_105_012,Carson,BOR_105_013,Dodger Station,BOR_105_014,Venice / Marina,BOR_105_015,Leimert Park,BOR_105_016,Santa Monica,BOR_105_017,Torrance,BOR_105_018,inglewood,BOR_105_019,West LA,BOR_105_021,LAX,BOR_105_022,Long Beach Airport,BOR_105_023,USC / Coliseum,,,,,,,,,,,,
BOR_105_021,LAX,BOR_105_001,Lawndale,BOR_105_002,Sherman Oaks,BOR_105_003,Union Station,BOR_105_004,Convention Center / Staples Center,BOR_105_005,Hawthorne,BOR_105_006,UCLA / Westwood,BOR_105_007,The Getty,BOR_105_008,Culver City,BOR_105_009,LA Stadium,BOR_105_010,South LA,BOR_105_011,Echo Park / Silver Lake,BOR_105_012,Carson,BOR_105_013,Dodger Station,BOR_105_014,Venice / Marina,BOR_105_015,Leimert Park,BOR_105_016,Santa Monica,BOR_105_017,Torrance,BOR_105_018,inglewood,BOR_105_019,West LA,BOR_105_020,South Bay,BOR_105_022,Long Beach Airport,BOR_105_023,USC / Coliseum,,,,,,,,,,,,
BOR_105_022,Long Beach Airport,BOR_105_001,Lawndale,BOR_105_002,Sherman Oaks,BOR_105_003,Union Station,BOR_105_004,Convention Center / Staples Center,BOR_105_005,Hawthorne,BOR_105_006,UCLA / Westwood,BOR_105_007,The Getty,BOR_105_008,Culver City,BOR_105_009,LA Stadium,BOR_105_010,South LA,BOR_105_011,Echo Park / Silver Lake,BOR_105_012,Carson,BOR_105_013,Dodger Station,BOR_105_014,Venice / Marina,BOR_105_015,Leimert Park,BOR_105_016,Santa Monica,BOR_105_017,Torrance,BOR_105_018,inglewood,BOR_105_019,West LA,BOR_105_020,South Bay,BOR_105_021,LAX,BOR_105_023,USC / Coliseum,,,,,,,,,,,,
BOR_106_001,Station 1,BOR_106_003,Station 3,BOR_106_002,Station 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOR_106_002,Station 2,BOR_106_003,Station 3,BOR_106_001,Station 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOR_106_003,Station 3,BOR_106_002,Station 2,BOR_106_001,Station 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOR_109_001,Terminal 3,BOR_109_002,Bellagio,BOR_109_003,Circus Circus,BOR_109_004,Planet Hollywood,BOR_109_005,The Drew,BOR_109_006,Park MGM,BOR_109_007,Mirage,BOR_109_008,Tropicana,BOR_109_009,Terminal 1,BOR_109_010,Paris,BOR_109_011,Treasure Island,BOR_109_012,MGM Grand,BOR_109_013,Cosmopolitan,BOR_109_014,City Center,BOR_109_015,Fashion Show,BOR_109_016,Harrah's,BOR_109_017,Palazzo,BOR_109_018,Las Vegas Stadium,BOR_109_019,Mandalay Bay,BOR_109_020,Luxor,BOR_109_021,Resorts World,BOR_109_022,New York- New York,BOR_109_023,Excalibur,BOR_109_024,Venetian,BOR_109_025,Flamingo,BOR_109_026,Wynn,BOR_109_027,Freemont Street Experience,BOR_109_028,Ceasars Palace,BOR_109_029,Stratosphere
BOR_109_002,Bellagio,BOR_109_001,Terminal 3,BOR_109_003,Circus Circus,BOR_109_004,Planet Hollywood,BOR_109_005,The Drew,BOR_109_006,Park MGM,BOR_109_007,Mirage,BOR_109_008,Tropicana,BOR_109_009,Terminal 1,BOR_109_010,Paris,BOR_109_011,Treasure Island,BOR_109_012,MGM Grand,BOR_109_013,Cosmopolitan,BOR_109_014,City Center,BOR_109_015,Fashion Show,BOR_109_016,Harrah's,BOR_109_017,Palazzo,BOR_109_018,Las Vegas Stadium,BOR_109_019,Mandalay Bay,BOR_109_020,Luxor,BOR_109_021,Resorts World,BOR_109_022,New York- New York,BOR_109_023,Excalibur,BOR_109_024,Venetian,BOR_109_025,Flamingo,BOR_109_026,Wynn,BOR_109_027,Freemont Street Experience,BOR_109_028,Ceasars Palace,BOR_109_029,Stratosphere
BOR_109_003,Circus Circus,BOR_109_001,Terminal 3,BOR_109_002,Bellagio,BOR_109_004,Planet Hollywood,BOR_109_005,The Drew,BOR_109_006,Park MGM,BOR_109_007,Mirage,BOR_109_008,Tropicana,BOR_109_009,Terminal 1,BOR_109_010,Paris,BOR_109_011,Treasure Island,BOR_109_012,MGM Grand,BOR_109_013,Cosmopolitan,BOR_109_014,City Center,BOR_109_015,Fashion Show,BOR_109_016,Harrah's,BOR_109_017,Palazzo,BOR_109_018,Las Vegas Stadium,BOR_109_019,Mandalay Bay,BOR_109_020,Luxor,BOR_109_021,Resorts World,BOR_109_022,New York- New York,BOR_109_023,Excalibur,BOR_109_024,Venetian,BOR_109_025,Flamingo,BOR_109_026,Wynn,BOR_109_027,Freemont Street Experience,BOR_109_028,Ceasars Palace,BOR_109_029,Stratosphere
